pert,name,cluster,split,fp_data,label
ENSG00000001084,GCLC,18,train,data/single_cell/k562_gw/data_interv-ENSG00000001084.npy,147
ENSG00000001497,LAS1L,279,train,data/single_cell/k562_gw/data_interv-ENSG00000001497.npy,406
ENSG00000002330,BAD,18,train,data/single_cell/k562_gw/data_interv-ENSG00000002330.npy,8
ENSG00000002586,CD99,189,train,data/single_cell/k562_gw/data_interv-ENSG00000002586.npy,95
ENSG00000004059,ARF5,18,train,data/single_cell/k562_gw/data_interv-ENSG00000004059.npy,9
ENSG00000004487,KDM1A,72,train,data/single_cell/k562_gw/data_interv-ENSG00000004487.npy,1
ENSG00000004534,RBM6,18,train,data/single_cell/k562_gw/data_interv-ENSG00000004534.npy,25
ENSG00000004779,NDUFAB1,189,train,data/single_cell/k562_gw/data_interv-ENSG00000004779.npy,433
ENSG00000004961,HCCS,189,train,data/single_cell/k562_gw/data_interv-ENSG00000004961.npy,68
ENSG00000005007,UPF1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000005007.npy,908
ENSG00000005100,DHX33,69,train,data/single_cell/k562_gw/data_interv-ENSG00000005100.npy,249
ENSG00000005194,CIAPIN1,294,train,data/single_cell/k562_gw/data_interv-ENSG00000005194.npy,918
ENSG00000005302,MSL3,18,train,data/single_cell/k562_gw/data_interv-ENSG00000005302.npy,61
ENSG00000006125,AP2B1,18,train,data/single_cell/k562_gw/data_interv-ENSG00000006125.npy,28
ENSG00000006451,RALA,18,train,data/single_cell/k562_gw/data_interv-ENSG00000006451.npy,13
ENSG00000006634,DBF4,95,train,data/single_cell/k562_gw/data_interv-ENSG00000006634.npy,49
ENSG00000006715,VPS41,224,train,data/single_cell/k562_gw/data_interv-ENSG00000006715.npy,40
ENSG00000006744,ELAC2,18,train,data/single_cell/k562_gw/data_interv-ENSG00000006744.npy,29
ENSG00000007255,TRAPPC6A,18,train,data/single_cell/k562_gw/data_interv-ENSG00000007255.npy,35
ENSG00000007392,LUC7L,18,train,data/single_cell/k562_gw/data_interv-ENSG00000007392.npy,42
ENSG00000008018,PSMB1,224,train,data/single_cell/k562_gw/data_interv-ENSG00000008018.npy,21
ENSG00000008324,SS18L2,224,train,data/single_cell/k562_gw/data_interv-ENSG00000008324.npy,72
ENSG00000008988,RPS20,69,train,data/single_cell/k562_gw/data_interv-ENSG00000008988.npy,60
ENSG00000009307,CSDE1,189,train,data/single_cell/k562_gw/data_interv-ENSG00000009307.npy,168
ENSG00000009335,UBE3C,189,train,data/single_cell/k562_gw/data_interv-ENSG00000009335.npy,243
